Name,URL,Team,Age,RestrictArea_FGM,RestrictArea_FGA,RestrictArea_FGpercent,Paint_FGM,Paint_FGA,Paint_FGpercent,MidRange_FGM,MidRange_FGA,MidRange_FGpercent,LeftCorner3_FGM,LeftCorner3_FGA,LeftCorner3_FGpercent,RightCorner3_FGM,RightCorner3_FGA,RightCorner3_FGpercent,Totals_FGM,Totals_FGA,Totals_FGpercent,AboveBreak3_FGM,AboveBreak3_FGA,AboveBreak3_FGpercent
Kawhi Leonard,/stats/player/202695/,SAS,27.0,1.9,2.6,73.9,0.7,2.3,28.6,2.0,3.6,56.3,0.0,0.1,0.0,0.1,0.4,25.0,0.1,0.6,20.0,1.1,3.3,33.3
Kay Felder,/stats/player/1627770/,DET,23.0,0.3,0.9,35.7,0.3,0.8,36.4,0.6,1.9,30.8,0.1,0.1,100.0,0.1,0.1,100.0,0.2,0.2,100.0,0.1,1.1,11.8
Kelly Olynyk,/stats/player/203482/,MIA,27.0,2.0,2.6,75.9,0.4,0.9,40.3,0.4,1.1,35.3,0.1,0.3,35.0,0.1,0.3,45.5,0.2,0.6,40.5,1.2,3.1,37.6
Kelly Oubre Jr.,/stats/player/1626162/,WAS,22.0,1.6,2.8,58.7,0.5,1.3,35.6,0.3,1.2,24.5,0.1,0.6,20.0,0.3,0.7,37.9,0.4,1.3,30.1,1.2,3.2,36.1
Kemba Walker,/stats/player/202689/,CHA,28.0,2.3,4.3,54.1,0.7,1.7,38.1,1.5,3.5,42.3,0.1,0.2,40.0,0.1,0.2,31.3,0.1,0.4,35.5,2.8,7.0,39.1
Kendrick Perkins,/stats/player/2570/,CLE,33.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Faried,/stats/player/202702/,DEN,28.0,1.7,2.9,58.1,0.5,1.4,37.8,0.2,0.3,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent Bazemore,/stats/player/203145/,ATL,28.0,1.6,2.8,56.0,0.4,1.3,29.3,0.8,2.1,36.7,0.3,0.7,44.2,0.3,0.6,45.0,0.6,1.3,44.6,1.1,2.9,37.0
Kentavious Caldwell-Pope,/stats/player/203484/,LAL,25.0,1.5,2.3,66.7,0.2,0.7,25.0,0.8,2.2,34.4,0.2,0.6,41.5,0.2,0.4,50.0,0.4,1.0,45.1,1.7,4.6,37.0
Kevin Durant,/stats/player/201142/,GSW,29.0,2.6,3.6,71.8,1.3,2.5,50.9,2.9,5.8,49.4,0.2,0.3,55.0,0.2,0.3,55.0,0.3,0.6,55.0,2.2,5.4,40.8
Kevin Love,/stats/player/201567/,CLE,29.0,2.1,3.3,62.1,0.5,1.5,34.5,0.8,2.0,39.3,0.5,1.1,41.5,0.2,0.7,30.8,0.7,1.8,37.5,1.7,3.8,43.4
Kevon Looney,/stats/player/1626172/,GSW,22.0,1.4,2.1,68.7,0.2,0.5,31.3,0.1,0.3,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3
Khem Birch,/stats/player/203920/,ORL,25.0,1.3,1.9,66.7,0.3,0.9,38.2,0.1,0.4,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khris Middleton,/stats/player/203114/,MIL,26.0,1.4,2.5,57.6,1.3,2.5,51.0,2.7,5.5,49.3,0.2,0.5,32.5,0.3,0.5,55.8,0.5,1.0,44.6,1.3,3.9,33.7
Klay Thompson,/stats/player/202691/,GSW,28.0,1.4,2.1,66.0,0.7,1.5,46.2,2.7,5.5,49.1,0.4,0.7,54.0,0.3,0.6,42.2,0.6,1.3,48.4,2.5,5.8,43.4
Kobi Simmons,/stats/player/1628424/,MEM,20.0,1.4,2.1,66.2,0.4,1.1,40.0,0.3,1.5,21.3,0.1,0.3,57.1,0.0,0.2,0.0,0.1,0.4,30.8,0.2,0.7,30.4
Kosta Koufos,/stats/player/201585/,SAC,29.0,1.6,2.4,69.2,1.4,2.8,48.8,0.1,0.3,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kris Dunn,/stats/player/1627739/,CHI,24.0,2.0,3.7,52.6,1.1,2.7,40.0,1.6,3.8,42.9,0.0,0.2,20.0,0.1,0.2,55.6,0.1,0.4,36.8,0.7,2.2,31.6
Kristaps Porzingis,/stats/player/204001/,NYK,22.0,1.8,3.3,55.8,1.7,3.8,45.8,2.7,6.8,40.2,0.1,0.1,57.1,0.1,0.1,60.0,0.1,0.3,58.3,1.7,4.4,39.2
Kyle Anderson,/stats/player/203937/,SAS,24.0,1.8,2.6,67.4,0.6,1.5,43.1,0.5,1.1,44.3,0.1,0.3,26.3,0.1,0.3,55.6,0.2,0.5,40.5,0.1,0.3,21.1
Kyle Collinsworth,/stats/player/1627858/,DAL,26.0,0.7,1.4,48.8,0.4,1.2,35.1,0.0,0.1,0.0,0.0,0.1,33.3,0.0,0.2,0.0,0.0,0.2,16.7,0.1,0.4,27.3
Kyle Korver,/stats/player/2594/,CLE,37.0,0.3,0.5,72.7,0.1,0.2,36.4,0.4,0.9,46.9,0.4,0.8,53.7,0.2,0.5,44.1,0.6,1.2,50.0,1.6,3.9,41.8
Kyle Kuzma,/stats/player/1628398/,LAL,22.0,2.5,4.2,59.0,1.0,2.1,48.1,0.6,1.6,34.4,0.2,0.6,34.7,0.2,0.5,42.1,0.4,1.1,37.9,1.6,4.5,36.4
Kyle Lowry,/stats/player/200768/,TOR,32.0,1.5,2.4,61.4,0.3,1.0,26.7,0.4,1.1,34.5,0.2,0.6,42.2,0.2,0.3,58.3,0.4,0.9,47.8,2.6,6.7,39.0
Kyle O'Quinn,/stats/player/203124/,NYK,28.0,1.8,2.6,68.8,0.5,1.0,53.9,0.5,1.2,45.7,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.1,50.0,0.0,0.2,16.7
Kyle Singler,/stats/player/202713/,OKC,30.0,0.3,0.8,42.9,0.2,0.6,28.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,40.0
Kyrie Irving,/stats/player/202681/,BOS,26.0,2.9,4.7,61.6,1.4,3.0,47.5,1.9,3.8,49.8,0.2,0.5,39.3,0.2,0.4,52.0,0.4,0.9,45.3,2.4,6.0,40.3
LaMarcus Aldridge,/stats/player/200746/,SAS,32.0,3.9,5.6,70.6,1.7,3.8,45.6,3.1,7.4,42.5,0.1,0.1,60.0,0.0,0.1,28.6,0.1,0.2,47.1,0.3,1.0,25.7
Lance Stephenson,/stats/player/202362/,IND,27.0,1.6,2.7,60.7,0.3,0.8,37.7,0.9,2.3,40.7,0.1,0.3,33.3,0.1,0.3,36.0,0.2,0.6,34.8,0.6,2.2,28.8
Lance Thomas,/stats/player/202498/,NYK,30.0,0.4,0.9,45.6,0.1,0.4,19.2,0.2,0.7,32.7,0.3,0.7,48.9,0.1,0.2,33.3,0.4,0.8,45.6,0.3,0.9,35.8
Langston Galloway,/stats/player/204038/,DET,26.0,0.2,0.3,56.3,0.3,0.7,47.5,0.4,1.1,34.8,0.2,0.5,32.0,0.2,0.5,45.5,0.3,0.9,38.3,1.0,2.9,33.3
Larry Drew II,/stats/player/203580/,NOP,28.0,0.2,0.4,50.0,0.0,0.3,0.0,0.2,0.9,25.0,0.0,0.2,0.0,0.2,0.2,100.0,0.1,0.3,50.0,0.2,0.7,28.6
Larry Nance Jr.,/stats/player/1626204/,CLE,25.0,2.8,3.9,72.2,0.3,0.8,31.5,0.5,1.3,38.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,40.0
Lauri Markkanen,/stats/player/1628374/,CHI,21.0,2.3,3.5,65.7,0.3,1.2,27.8,0.8,2.1,35.6,0.1,0.4,33.3,0.1,0.3,33.3,0.2,0.7,33.3,1.9,5.2,36.6
LeBron James,/stats/player/2544/,CLE,33.0,6.5,8.7,75.2,0.7,2.0,35.0,1.4,3.7,38.9,0.1,0.2,38.9,0.1,0.3,35.0,0.2,0.5,36.8,1.6,4.5,36.8
London Perrantes,/stats/player/1628506/,CLE,23.0,0.1,0.2,50.0,0.1,0.6,20.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Lonzo Ball,/stats/player/1628366/,LAL,20.0,1.5,3.2,47.9,0.4,1.2,33.3,0.3,0.8,32.6,0.1,0.4,19.0,0.1,0.3,31.3,0.2,0.7,24.3,1.5,4.9,31.5
Lorenzo Brown,/stats/player/203485/,TOR,27.0,0.3,0.4,80.0,0.3,0.7,44.4,0.3,0.7,50.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.2,0.5,33.3
Lou Williams,/stats/player/101150/,LAC,31.0,2.4,4.1,58.3,1.1,2.9,38.9,1.5,3.4,44.2,0.3,0.9,29.4,0.1,0.5,27.5,0.4,1.4,28.7,1.9,5.1,37.9
Luc Mbah a Moute,/stats/player/201601/,HOU,31.0,1.6,2.5,64.5,0.1,0.2,38.5,0.0,0.1,0.0,0.1,0.4,27.3,0.2,0.8,30.0,0.3,1.2,29.2,0.7,1.7,41.6
Lucas Nogueira,/stats/player/203512/,TOR,25.0,0.9,1.3,71.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3,33.3
Luis Montero,/stats/player/1626242/,DET,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Babbitt,/stats/player/202337/,MIA,29.0,0.1,0.2,54.5,0.2,0.3,47.1,0.3,0.6,53.1,0.3,0.7,46.2,0.2,0.5,31.6,0.4,1.0,40.0,0.9,2.2,38.2
Luke Kennard,/stats/player/1628379/,DET,22.0,0.6,1.0,57.7,0.3,1.1,31.2,0.8,1.7,49.2,0.0,0.1,16.7,0.2,0.4,42.3,0.2,0.5,37.5,0.9,2.2,42.3
Luke Kornet,/stats/player/1628436/,NYK,22.0,0.9,1.3,65.4,0.1,0.4,14.3,0.2,0.7,23.1,0.0,0.3,0.0,0.2,0.3,75.0,0.2,0.5,33.3,1.3,3.5,35.7
Luol Deng,/stats/player/2736/,LAL,33.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malachi Richardson,/stats/player/1627781/,TOR,22.0,0.3,0.8,31.8,0.0,0.2,20.0,0.4,0.9,43.5,0.1,0.2,50.0,0.1,0.3,20.0,0.1,0.4,33.3,0.3,1.2,29.0
Malcolm Brogdon,/stats/player/1627763/,MIL,25.0,2.7,4.3,61.8,0.5,1.4,36.2,0.6,1.4,43.9,0.2,0.5,52.4,0.2,0.5,45.5,0.4,0.9,48.8,0.9,2.4,35.0
